name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	610	610	0	60	60	-1	15900	15900	-1	2084	2084	-1	4093	4093	-1	10940	10940	-1	14960	14960	-1	t < 800 ms	493	80	800 ms < t < 1200 ms	7	1	t > 1200 ms	110	18	failed	0	0	5	5	-1
Hit Company List Page	100	100	0	260	260	-1	1070	1070	-1	566	566	-1	179	179	-1	820	820	-1	990	990	-1	t < 800 ms	93	93	800 ms < t < 1200 ms	7	7	t > 1200 ms	0	0	failed	0	0	1	1	-1
Search for Participant or Team Page	100	100	0	100	100	-1	330	330	-1	145	145	-1	39	39	-1	220	220	-1	250	250	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Individual Registration Page 1	100	100	0	60	60	-1	410	410	-1	100	100	-1	72	72	-1	280	280	-1	320	320	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Join or Form a Team Page with TR Dropdown	100	100	0	6030	6030	-1	15900	15900	-1	10493	10493	-1	2040	2040	-1	14950	14950	-1	15650	15650	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	100	100	failed	0	0	1	1	-1
Hit Individual Registration Page 1 Redirect 1	10	10	0	6660	6660	-1	15080	15080	-1	11370	11370	-1	3232	3232	-1	15080	15080	-1	15080	15080	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	100	failed	0	0	0	0	-1
Hit Main Registration Page	100	100	0	90	90	-1	240	240	-1	124	124	-1	36	36	-1	200	200	-1	240	240	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
Hit Find Participant or Team Page	100	100	0	90	90	-1	600	600	-1	149	149	-1	76	76	-1	230	230	-1	600	600	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1

